# stack area ntrue nmarginal ra_stk dec_stk nobs observations
acisfJ0054589m351905_001 380.5 41 15 13.7458038424 -35.318301706 1 05784_001
acisfJ0055096m373843_001 452.1 24 7 13.7901388978 -37.6453479431 1 09883_000
acisfJ0055129p352618_001 300.9 46 14 13.8039294442 35.4385501652 1 14895_000
acisfJ0055454p262444_001 371.2 64 33 13.9394826548 26.4123878643 1 03233_000
acisfJ0055493p262229_001 397.3 121 22 13.9555910162 26.3757053695 4 13458_000,13459_000,15578_000,15581_000
acisfJ0056061m732517_001 457.5 25 8 14.0254702008 -73.4215981211 1 05499_002
acisfJ0056081m723503_001 485.7 108 20 14.0343275384 -72.5844006231 2 14668_000,15501_000
acisfJ0056177m011425_001 403.1 73 16 14.0734640484 -1.24019502344 2 04180_000,07918_000
acisfJ0056225p003224_001 302.5 19 11 14.0941616486 0.54025247539 1 07746_000
acisfJ0056391m722008_001 499.4 106 16 14.1629721683 -72.3357596113 2 14671_000,15504_001
acisfJ0056441p021704_001 455.0 23 8 14.184165422 2.2845630268 1 04831_001
acisfJ0056461m721810_001 447.9 28 8 14.1922302507 -72.3029930097 1 02948_000
acisfJ0057044p144911_001 13.3 4 0 14.268399915 14.819784524 1 00865_000
acisfJ0057179m272220_001 458.6 37 7 14.3246330417 -27.3724029698 1 02242_000
acisfJ0057196m261451_001 379.8 23 7 14.3317717742 -26.2476011914 1 09427_000
acisfJ0057280m274400_001 458.3 14 10 14.3670061293 -27.7333515272 1 02243_000
acisfJ0057338m012319_001 306.8 19 5 14.3911912312 -1.3886910828 1 12721_000
acisfJ0057387m273327_001 459.1 20 10 14.4116064058 -27.5575801681 1 02244_000
acisfJ0057462p302115_001 11.7 3 0 14.4425108831 30.3542836214 1 00855_000
acisfJ0057502p302038_001 161.5 32 9 14.4595654791 30.3441620457 1 04156_000
acisfJ0057517m272327_001 459.0 38 9 14.4658262325 -27.3910856861 1 02245_000
acisfJ0058016m275346_001 457.8 23 6 14.5067485544 -27.8961410318 1 02246_001
acisfJ0058071m460435_001 374.7 9 2 14.5299767917 -46.0766145244 1 10153_000
acisfJ0058171m715037_001 458.2 13 6 14.5715751521 -71.843724835 1 05480_000
acisfJ0058177m721815_001 384.6 34 14 14.573752989 -72.3044033915 1 13773_000
acisfJ0058227p265206_001 310.0 71 18 14.5946010788 26.8683587436 1 06830_001
acisfJ0058238m614847_001 379.3 72 21 14.5992932759 -61.8130897538 1 13479_000
